p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:26.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:26.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:27.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:27.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:28.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:28.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:29.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:29.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:30.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:30.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:31.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:31.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:32.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:32.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:33.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:33.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:34.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:34.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:35.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:35.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:36.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:36.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:37.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:37.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:38.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:38.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:39.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:39.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:40.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:40.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:41.017000
0,0,0,0,4053,1585,297,217,136,0,0,0,2023-08-22T19:03:41.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:43.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:43.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:44.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:44.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:45.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:45.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:46.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:46.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:47.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:47.518000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:48.018000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:48.518000
